DSH_target,DSC_target,f_comp
1.4736842105263157,1.0,309.375
1.4736842105263157,1.0,350.0
1.4736842105263157,1.0,390.625
1.4736842105263157,1.0,431.25
1.4736842105263157,1.0,471.875
1.4736842105263157,1.0,512.5
1.4736842105263157,1.0,553.125
1.4736842105263157,1.0,593.75
1.4736842105263157,1.0,634.375
1.4736842105263157,1.0,675.0
1.4736842105263157,1.0,715.625
1.4736842105263157,1.0,756.25
1.4736842105263157,1.0,796.875
1.4736842105263157,1.0,837.5
1.4736842105263157,1.0,878.125
1.4736842105263157,1.0,918.75
1.4736842105263157,1.0,959.375
1.4736842105263157,1.0,1000.0
1.4736842105263157,1.4736842105263157,25.0
1.4736842105263157,1.4736842105263157,65.625
1.4736842105263157,1.4736842105263157,106.25
1.4736842105263157,1.4736842105263157,146.875
1.4736842105263157,1.4736842105263157,187.5
1.4736842105263157,1.4736842105263157,228.125
1.4736842105263157,1.4736842105263157,268.75
1.4736842105263157,1.4736842105263157,309.375
1.4736842105263157,1.4736842105263157,350.0
1.4736842105263157,1.4736842105263157,390.625
1.4736842105263157,1.4736842105263157,431.25
1.4736842105263157,1.4736842105263157,471.875
1.4736842105263157,1.4736842105263157,512.5
1.4736842105263157,1.4736842105263157,553.125
1.4736842105263157,1.4736842105263157,593.75
1.4736842105263157,1.4736842105263157,634.375
1.4736842105263157,1.4736842105263157,675.0
1.4736842105263157,1.4736842105263157,715.625
1.4736842105263157,1.4736842105263157,756.25
1.4736842105263157,1.4736842105263157,796.875
1.4736842105263157,1.4736842105263157,837.5
1.4736842105263157,1.4736842105263157,878.125
1.4736842105263157,1.4736842105263157,918.75
1.4736842105263157,1.4736842105263157,959.375
1.4736842105263157,1.4736842105263157,1000.0
1.4736842105263157,1.9473684210526314,25.0
1.4736842105263157,1.9473684210526314,65.625
1.4736842105263157,1.9473684210526314,106.25
1.4736842105263157,1.9473684210526314,146.875
1.4736842105263157,1.9473684210526314,187.5
1.4736842105263157,1.9473684210526314,228.125
1.4736842105263157,1.9473684210526314,268.75
1.4736842105263157,1.9473684210526314,309.375
1.4736842105263157,1.9473684210526314,350.0
1.4736842105263157,1.9473684210526314,390.625
1.4736842105263157,1.9473684210526314,431.25
1.4736842105263157,1.9473684210526314,471.875
1.4736842105263157,1.9473684210526314,512.5
1.4736842105263157,1.9473684210526314,553.125
1.4736842105263157,1.9473684210526314,593.75
1.4736842105263157,1.9473684210526314,634.375
1.4736842105263157,1.9473684210526314,675.0
1.4736842105263157,1.9473684210526314,715.625
1.4736842105263157,1.9473684210526314,756.25
1.4736842105263157,1.9473684210526314,796.875
1.4736842105263157,1.9473684210526314,837.5
1.4736842105263157,1.9473684210526314,878.125
1.4736842105263157,1.9473684210526314,918.75
1.4736842105263157,1.9473684210526314,959.375
1.4736842105263157,1.9473684210526314,1000.0
1.4736842105263157,2.4210526315789473,25.0
1.4736842105263157,2.4210526315789473,65.625
1.4736842105263157,2.4210526315789473,106.25
1.4736842105263157,2.4210526315789473,146.875
1.4736842105263157,2.4210526315789473,187.5
1.4736842105263157,2.4210526315789473,228.125
1.4736842105263157,2.4210526315789473,268.75
1.4736842105263157,2.4210526315789473,309.375
1.4736842105263157,2.4210526315789473,350.0
1.4736842105263157,2.4210526315789473,390.625
1.4736842105263157,2.4210526315789473,431.25
